Input problem; failFirst; SymmetryBreaking; LEX; MAXIMUM; SUM; Minimal optimum; failFirst: cost; SymmetryBreaking: cost; LEX: cost; MAXIMUM: cost; SUM: cost; 
200 VMs, 400 PMs; 60.006; 60.006; 60.009; 60.005; 60.007; 479; 590; 590; 590; 590; 590; 
200 VMs, 400 PMs; 60.005; 60.006; 60.006; 60.005; 60.005; 489; 580; 580; 580; 580; 580; 
200 VMs, 400 PMs; 60.004; 60.005; 60.005; 60.005; 60.005; 479; 579; 575; 575; 577; 577; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.005; 60.005; 458; 558; 557; 557; 557; 557; 
200 VMs, 400 PMs; 60.005; 60.005; 60.004; 60.005; 60.005; 468; 583; 582; 582; 583; 582; 
200 VMs, 400 PMs; 60.005; 60.005; 60.006; 60.004; 60.005; 469; 600; 594; 594; 598; 596; 
200 VMs, 400 PMs; 60.004; 60.03; 60.005; 60.005; 60.005; 478; 580; 580; 580; 580; 580; 
200 VMs, 400 PMs; 60.005; 60.004; 60.005; 60.005; 60.005; 448; 560; 557; 557; 560; 557; 
200 VMs, 400 PMs; 60.005; 60.005; 60.026; 60.005; 60.005; 459; 563; 563; 563; 563; 563; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.005; 60.005; 480; 580; 580; 580; 580; 580; 
200 VMs, 400 PMs; 60.004; 60.005; 60.005; 60.005; 60.005; 440; 558; 555; 555; 559; 558; 
200 VMs, 400 PMs; 60.004; 60.005; 60.005; 60.005; 60.005; 438; 549; 546; 546; 546; 546; 
200 VMs, 400 PMs; 60.005; 60.004; 60.005; 60.005; 60.032; 518; 636; 637; 637; 650; 637; 
200 VMs, 400 PMs; 60.004; 60.005; 60.005; 60.005; 60.005; 460; 570; 565; 565; 566; 565; 
200 VMs, 400 PMs; 60.004; 60.005; 60.005; 60.005; 60.005; 460; 566; 564; 564; 572; 565; 
200 VMs, 400 PMs; 60.004; 60.005; 60.005; 60.005; 60.005; 529; 666; 666; 666; 666; 666; 
200 VMs, 400 PMs; 60.004; 60.004; 60.005; 60.005; 60.005; 418; 514; 514; 514; 514; 515; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.005; 60.005; 458; 563; 558; 558; 559; 557; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.005; 60.005; 439; 562; 547; 547; 547; 547; 
200 VMs, 400 PMs; 60.003; 60.005; 60.005; 60.037; 60.005; 498; 617; 617; 617; 617; 617; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.005; 60.005; 440; 544; 543; 543; 545; 543; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.005; 60.004; 410; 516; 514; 514; 516; 516; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.005; 60.005; 478; 570; 570; 570; 570; 570; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.005; 60.005; 490; 590; 590; 590; 590; 590; 
200 VMs, 400 PMs; 60.004; 60.005; 60.005; 60.005; 60.005; 449; 550; 550; 550; 550; 550; 
200 VMs, 400 PMs; 60.005; 60.004; 60.005; 60.005; 60.005; 479; 600; 600; 600; 600; 600; 
200 VMs, 400 PMs; 60.005; 60.005; 60.004; 60.005; 60.005; 469; 561; 564; 564; 564; 564; 
200 VMs, 400 PMs; 60.005; 60.004; 60.005; 60.004; 60.005; 478; 588; 589; 589; 590; 587; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.005; 60.005; 469; 575; 573; 573; 573; 573; 
200 VMs, 400 PMs; 60.005; 60.004; 60.005; 60.005; 60.005; 478; 570; 570; 570; 570; 570; 
200 VMs, 400 PMs; 60.005; 60.004; 60.005; 60.005; 60.005; 458; 570; 570; 570; 570; 570; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.005; 60.005; 458; 560; 560; 560; 560; 560; 
200 VMs, 400 PMs; 60.005; 60.003; 60.005; 60.005; 60.005; 419; 520; 520; 520; 520; 520; 
200 VMs, 400 PMs; 60.005; 60.006; 60.004; 60.005; 60.005; 499; 610; 610; 610; 610; 610; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.004; 60.005; 449; 560; 560; 560; 560; 560; 
200 VMs, 400 PMs; 60.005; 60.004; 60.005; 60.005; 60.005; 480; 594; 581; 581; 589; 581; 
200 VMs, 400 PMs; 60.005; 60.004; 60.005; 60.005; 60.005; 460; 570; 570; 570; 570; 570; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.005; 60.005; 448; 540; 540; 540; 540; 540; 
200 VMs, 400 PMs; 60.005; 60.004; 60.005; 60.005; 60.005; 429; 542; 539; 539; 541; 539; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.005; 60.005; 448; 543; 547; 547; 547; 548; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.005; 60.005; 478; 582; 582; 582; 582; 582; 
200 VMs, 400 PMs; 60.005; 60.004; 60.005; 60.004; 60.005; 419; 520; 520; 520; 520; 520; 
200 VMs, 400 PMs; 60.005; 60.004; 60.005; 60.005; 60.005; 460; 562; 562; 562; 562; 561; 
200 VMs, 400 PMs; 60.005; 60.004; 60.005; 60.005; 60.005; 459; 560; 560; 560; 560; 560; 
200 VMs, 400 PMs; 60.005; 60.004; 60.005; 60.005; 60.005; 480; 604; 595; 595; 595; 595; 
200 VMs, 400 PMs; 60.005; 60.004; 60.005; 60.005; 60.005; 450; 570; 570; 570; 570; 570; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.005; 60.005; 440; 565; 554; 554; 561; 555; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.005; 60.005; 460; 578; 574; 574; 583; 575; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.004; 60.005; 448; 560; 560; 560; 560; 560; 
200 VMs, 400 PMs; 60.005; 60.004; 60.005; 60.005; 60.005; 480; 599; 593; 593; 599; 599; 
200 VMs, 400 PMs; 60.004; 60.005; 60.005; 60.005; 60.005; 490; 619; 620; 620; 620; 620; 
200 VMs, 400 PMs; 60.004; 60.005; 60.005; 60.005; 60.005; 420; 523; 523; 523; 525; 525; 
200 VMs, 400 PMs; 60.004; 60.004; 60.005; 60.005; 60.005; 458; 559; 553; 553; 559; 560; 
200 VMs, 400 PMs; 60.004; 60.005; 60.004; 60.005; 60.005; 470; 579; 574; 574; 578; 577; 
200 VMs, 400 PMs; 60.004; 60.005; 60.005; 60.005; 60.005; 488; 611; 608; 608; 607; 607; 
200 VMs, 400 PMs; 60.004; 60.005; 60.005; 60.005; 60.005; 438; 546; 546; 546; 547; 546; 
200 VMs, 400 PMs; 60.004; 60.005; 60.005; 60.005; 60.005; 489; 594; 594; 594; 594; 594; 
200 VMs, 400 PMs; 60.003; 60.005; 60.005; 60.005; 60.005; 438; 530; 530; 530; 530; 530; 
200 VMs, 400 PMs; 60.004; 60.005; 60.005; 60.005; 60.005; 460; 580; 573; 573; 574; 573; 
200 VMs, 400 PMs; 60.004; 60.005; 60.005; 60.004; 60.005; 460; 570; 570; 570; 570; 570; 

